nCoV-2019_1_LEFT	nCoV-2019_1_RIGHT
nCoV-2019_2_LEFT	nCoV-2019_2_RIGHT
nCoV-2019_3_LEFT	nCoV-2019_3_RIGHT
nCoV-2019_4_LEFT	nCoV-2019_4_RIGHT
nCoV-2019_5_LEFT	nCoV-2019_5_RIGHT
nCoV-2019_6_LEFT	nCoV-2019_6_RIGHT
nCoV-2019_7_LEFT	nCoV-2019_7_RIGHT
nCoV-2019_8_LEFT	nCoV-2019_8_RIGHT
nCoV-2019_9_LEFT	nCoV-2019_9_RIGHT
nCoV-2019_10_LEFT	nCoV-2019_10_RIGHT
nCoV-2019_11_LEFT	nCoV-2019_11_RIGHT
nCoV-2019_12_LEFT	nCoV-2019_12_RIGHT
nCoV-2019_13_LEFT	nCoV-2019_13_RIGHT
nCoV-2019_14_LEFT	nCoV-2019_14_RIGHT
nCoV-2019_15_LEFT	nCoV-2019_15_RIGHT
nCoV-2019_16_LEFT	nCoV-2019_16_RIGHT
nCoV-2019_17_LEFT	nCoV-2019_17_RIGHT
